DICIONÁRIO DE VARIÁVEIS - ENEM 2019;;;;;
;;;;;
NOME DA VARIÁVEL;Descrição;Variáveis Categóricas;;Tamanho ;Tipo
;;Categoria;Descrição;;
DADOS DO PARTICIPANTE;;;;;
NU_INSCRICAO;Número de inscrição1 ;;;12;Numérica
NU_ANO;Ano do Enem;;;4;Numérica
CO_MUNICIPIO_RESIDENCIA;Código do município de residência ;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_RESIDENCIA;Nome do município de residência;;;150;Alfanumérica
CO_UF_RESIDENCIA;Código da Unidade da Federação de residência;;;2;Numérica
SG_UF_RESIDENCIA;Sigla da Unidade da Federação de residência;;;2;Alfanumérica
NU_IDADE;Idade2;;;3;Numérica
TP_SEXO;Sexo;M;Masculino;1;Alfanumérica
;;F;Feminino ;;
TP_ESTADO_CIVIL;Estado Civil;0;Não informado;1;Numérica
;;1;Solteiro(a);;
;;2;Casado(a)/Mora com companheiro(a);;
;;3;Divorciado(a)/Desquitado(a)/Separado(a);;
;;4;Viúvo(a);;
TP_COR_RACA;Cor/raça;0;Não declarado;1;Numérica
;;1;Branca;;
;;2;Preta;;
;;3;Parda;;
;;4;Amarela;;
;;5;Indígena ;;
TP_NACIONALIDADE;Nacionalidade;0;Não informado;1;Numérica
;;1;Brasileiro(a);;
;;2;Brasileiro(a) Naturalizado(a);;
;;3;Estrangeiro(a);;
;;4;Brasileiro(a) Nato(a), nascido(a) no exterior;;
CO_MUNICIPIO_NASCIMENTO;Código do município de nascimento;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_NASCIMENTO;Nome do município de nascimento;;;150;Alfanumérica
CO_UF_NASCIMENTO;Código da Unidade da Federação de nascimento;;;2;Numérica
SG_UF_NASCIMENTO;Sigla da Unidade da Federação de nascimento;;;2;Alfanumérica
TP_ST_CONCLUSAO;Situação de conclusão do Ensino Médio;1;Já concluí o Ensino Médio;1;Numérica
;;2;Estou cursando e concluirei o Ensino Médio em 2019;;
;;3;Estou cursando e concluirei o Ensino Médio após 2019;;
;;4;Não concluí e não estou cursando o Ensino Médio;;
TP_ANO_CONCLUIU;Ano de Conclusão do Ensino Médio;0;Não informado;1;Numérica
;;1;2018;;
;;2;2017;;
;;3;2016;;
;;4;2015;;
;;5;2014;;
;;6;2013;;
;;7;2012;;
;;8;2011;;
;;9;2010;;
;;10;2009;;
;;11;2008;;
;;12;2007;;
;;13;Antes de 2007;;
TP_ESCOLA;Tipo de escola do Ensino Médio;1;Não Respondeu;1;Numérica
;;2;Pública;;
;;3;Privada;;
;;4;Exterior;;
TP_ENSINO;Tipo de instituição que concluiu ou concluirá o Ensino Médio ;1;Ensino Regular;1;Numérica
;;2;Educação Especial - Modalidade Substitutiva;;
;;3;Educação de Jovens e Adultos;;
IN_TREINEIRO;Indica se o inscrito fez a prova com intuito de apenas treinar seus conhecimentos3;1;Sim;1;Numérica
;;0;Não;;
DADOS DA ESCOLA;;;;;
CO_ESCOLA;Código da Escola4;;;8;Numérica
"CO_MUNICIPIO_ESC
";Código do município da escola ;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_ESC;Nome do município da escola;;;150;Alfanumérica
CO_UF_ESC;Código da Unidade da Federação da escola;;;2;Numérica
SG_UF_ESC;Sigla da Unidade da Federação da escola;;;2;Alfanumérica
TP_DEPENDENCIA_ADM_ESC;Dependência administrativa (Escola);1;Federal;1;Numérica
;;2;Estadual;;
;;3;Municipal;;
;;4;Privada;;
TP_LOCALIZACAO_ESC;Localização (Escola);1;Urbana;1;Numérica
;;2;Rural;;
TP_SIT_FUNC_ESC;Situação de funcionamento (Escola);1;Em atividade;1;Numérica
;;2;Paralisada;;
;;3;Extinta;;
DADOS DOS PEDIDOS DE ATENDIMENTO ESPECIALIZADO;;;;;
IN_BAIXA_VISAO;Indicador de baixa visão5;1;Sim;1;Numérica
;;0;Não;;
IN_CEGUEIRA;Indicador de cegueira5;1;Sim;1;Numérica
;;0;Não;;
IN_SURDEZ;Indicador de surdez5;1;Sim;1;Numérica
;;0;Não;;
IN_DEFICIENCIA_AUDITIVA;Indicador de deficiência auditiva5;1;Sim;1;Numérica
;;0;Não;;
IN_SURDO_CEGUEIRA;Indicador de surdo-cegueira5;1;Sim;1;Numérica
;;0;Não;;
IN_DEFICIENCIA_FISICA;Indicador de deficiência física5;1;Sim;1;Numérica
;;0;Não;;
IN_DEFICIENCIA_MENTAL;Indicador de deficiência mental5;1;Sim;1;Numérica
;;0;Não;;
IN_DEFICIT_ATENCAO;Indicador de déficit de atenção5;1;Sim;1;Numérica
;;0;Não;;
IN_DISLEXIA;Indicador de dislexia5;1;Sim;1;Numérica
;;0;Não;;
IN_DISCALCULIA;Indicador de discalculia5;1;Sim;1;Numérica
;;0;Não;;
IN_AUTISMO;Indicador de autismo5;1;Sim;1;Numérica
;;0;Não;;
IN_VISAO_MONOCULAR;Indicador de visão monocular5;1;Sim;1;Numérica
;;0;Não;;
IN_OUTRA_DEF;Indicador de outra deficiência ou condição especial5;1;Sim;1;Numérica
;;0;Não;;
DADOS DOS PEDIDOS DE ATENDIMENTO ESPECÍFICO;;;;;
IN_GESTANTE;Indicador de gestante5;1;Sim;1;Numérica
;;0;Não;;
IN_LACTANTE;Indicador de lactante5;1;Sim;1;Numérica
;;0;Não;;
IN_IDOSO;Indicador de inscrito idoso5;1;Sim;1;Numérica
;;0;Não;;
IN_ESTUDA_CLASSE_HOSPITALAR;Indicador de inscrição em Unidade Hospitalar5;1;Sim;1;Numérica
;;0;Não;;
DADOS DOS PEDIDOS DE RECURSOS ESPECIALIZADOS E ESPECÍFICOS PARA REALIZAÇÃO DAS PROVAS;;;;;
IN_SEM_RECURSO;Indicador de inscrito que não requisitou nenhum recurso;1;Sim;1;Numérica
;;0;Não;;
IN_BRAILLE;Indicador de solicitação de prova em braille5;1;Sim;1;Numérica
;;0;Não;;
IN_AMPLIADA_24;Indicador de solicitação de prova superampliada com fonte tamanho 245;1;Sim;1;Numérica
;;0;Não;;
IN_AMPLIADA_18;Indicador de solicitação de prova ampliada com fonte tamanho 185;1;Sim;1;Numérica
;;0;Não;;
IN_LEDOR;Indicador de solicitação de auxílio para leitura (ledor)5;1;Sim;1;Numérica
;;0;Não;;
IN_ACESSO;Indicador de solicitação de sala de fácil acesso5;1;Sim;1;Numérica
;;0;Não;;
IN_TRANSCRICAO;Indicador de solicitação de auxílio para transcrição5;1;Sim;1;Numérica
;;0;Não;;
IN_LIBRAS;Indicador de solicitação de Tradutor- Intérprete Libras5;1;Sim;1;Numérica
;;0;Não;;
IN_TEMPO_ADICIONAL;Indicador de solicitação de tempo adicional5;1;Sim;1;Numérica
;;0;Não;;
IN_LEITURA_LABIAL;Indicador de solicitação de leitura labial5;1;Sim;1;Numérica
;;0;Não;;
IN_MESA_CADEIRA_RODAS;Indicador de solicitação de mesa para cadeira de rodas5;1;Sim;1;Numérica
;;0;Não;;
IN_MESA_CADEIRA_SEPARADA;Indicador de solicitação de mesa e cadeira separada5;1;Sim;1;Numérica
;;0;Não;;
IN_APOIO_PERNA;Indicador de solicitação de apoio de perna e pé5;1;Sim;1;Numérica
;;0;Não;;
IN_GUIA_INTERPRETE;Indicador de solicitação de guia intérprete5;1;Sim;1;Numérica
;;0;Não;;
IN_COMPUTADOR;Indicador de solicitação de computador5;1;Sim;1;Numérica
;;0;Não;;
IN_CADEIRA_ESPECIAL;Indicador de solicitação de cadeira especial5;1;Sim;1;Numérica
;;0;Não;;
IN_CADEIRA_CANHOTO;Indicador de solicitação de cadeira para canhoto5;1;Sim;1;Numérica
;;0;Não;;
IN_CADEIRA_ACOLCHOADA;Indicador de solicitação de cadeira acolchoada5;1;Sim;1;Numérica
;;0;Não;;
IN_PROVA_DEITADO;Indicador de solicitação para fazer prova deitado em maca ou mobiliário similar5;1;Sim;1;Numérica
;;0;Não;;
IN_MOBILIARIO_OBESO;Indicador de solicitação de mobiliário adequado para obeso5;1;Sim;1;Numérica
;;0;Não;;
IN_LAMINA_OVERLAY;Indicador de solicitação de lâmina overlay5;1;Sim;1;Numérica
;;0;Não;;
IN_PROTETOR_AURICULAR;Indicador de solicitação de protetor auricular5;1;Sim;1;Numérica
;;0;Não;;
IN_MEDIDOR_GLICOSE;Indicador de solicitação de medidor de glicose e/ou aplicação de insulina5;1;Sim;1;Numérica
;;0;Não;;
IN_MAQUINA_BRAILE;Indicador de solicitação de máquina Braile e/ou Reglete e Punção5;1;Sim;1;Numérica
;;0;Não;;
IN_SOROBAN;Indicador de solicitação de soroban5;1;Sim;1;Numérica
;;0;Não;;
IN_MARCA_PASSO;Indicador de solicitação de marca-passo (impeditivo de uso de detector de metais)5;1;Sim;1;Numérica
;;0;Não;;
IN_SONDA;Indicador de solicitação de sonda com troca periódica5;1;Sim;1;Numérica
;;0;Não;;
IN_MEDICAMENTOS;Indicador de solicitação de medicamentos5;1;Sim;1;Numérica
;;0;Não;;
IN_SALA_INDIVIDUAL;Indicador de solicitação de sala especial individual5;1;Sim;1;Numérica
;;0;Não;;
IN_SALA_ESPECIAL;Indicador de solicitação de sala especial até 20 participantes5;1;Sim;1;Numérica
;;0;Não;;
IN_SALA_ACOMPANHANTE;Indicador de solicitação de sala reservada para acompanhantes5;1;Sim;1;Numérica
;;0;Não;;
IN_MOBILIARIO_ESPECIFICO;Indicador de solicitação de mobiliário específico5;1;Sim;1;Numérica
;;0;Não;;
IN_MATERIAL_ESPECIFICO;Indicador de solicitação de material específico5;1;Sim;1;Numérica
;;0;Não;;
IN_NOME_SOCIAL;Indicador de inscrito que se declarou travesti, transexual ou transgênero e solicitou atendimento pelo Nome Social, conforme é reconhecido socialmente em consonância com sua identidade de gênero6;1;Sim;1;Numérica
;;0;Não;;
DADOS DO LOCAL DE APLICAÇÃO DA PROVA;;;;;
CO_MUNICIPIO_PROVA;Código do município da aplicação da prova;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_PROVA;Nome do município da aplicação da prova;;;150;Alfanumérica
CO_UF_PROVA;Código da Unidade da Federação da aplicação da prova;;;2;Alfanumérica
SG_UF_PROVA;Sigla da Unidade da Federação da aplicação da prova;;;2;Alfanumérica
DADOS DA PROVA OBJETIVA;;;;;
TP_PRESENCA_CN;Presença na prova objetiva de Ciências da Natureza;0;Faltou à prova;1;Numérica
;;1;Presente na prova;;
;;2;Eliminado na prova;;
TP_PRESENCA_CH;Presença na prova objetiva de Ciências Humanas;0;Faltou à prova;1;Numérica
;;1;Presente na prova;;
;;2;Eliminado na prova;;
TP_PRESENCA_LC;Presença na prova objetiva de Linguagens e Códigos;0;Faltou à prova;1;Numérica
;;1;Presente na prova;;
;;2;Eliminado na prova;;
TP_PRESENCA_MT;Presença na prova objetiva de Matemática;0;Faltou à prova;1;Numérica
;;1;Presente na prova;;
;;2;Eliminado na prova;;
CO_PROVA_CN;Código do tipo de prova de Ciências da Natureza;503;Azul;3;Numérica
;;504;Amarela;;
;;505;Cinza;;
;;506;Rosa;;
;;519;Laranja - Adaptada Ledor;;
;;523;Verde - Videoprova - Libras;;
;;543;Amarela (Reaplicação);;
;;544;Cinza (Reaplicação);;
;;545;Azul (Reaplicação);;
;;546;Rosa (Reaplicação);;
CO_PROVA_CH;Código do tipo de prova de Ciências Humanas;507;Azul;3;Numérica
;;508;Amarela;;
;;509;Branca;;
;;510;Rosa;;
;;520;Laranja - Adaptada Ledor;;
;;524;Verde - Videoprova - Libras;;
;;547;Azul (Reaplicação);;
;;548;Amarelo (Reaplicação);;
;;549;Branco (Reaplicação);;
;;550;Rosa (Reaplicação);;
;;564;Laranja - Adaptada Ledor (Reaplicação);;
CO_PROVA_LC;Código do tipo de prova de Linguagens e Códigos;511;Azul;3;Numérica
;;512;Amarela;;
;;513;Rosa;;
;;514;Branca;;
;;521;Laranja - Adaptada Ledor;;
;;525;Verde - Videoprova - Libras;;
;;551;Azul (Reaplicação);;
;;552;Amarelo (Reaplicação);;
;;553;Branca (Reaplicação);;
;;554;Rosa (Reaplicação);;
;;565;Laranja - Adaptada Ledor (Reaplicação);;
CO_PROVA_MT;Código do tipo de prova de Matemática;515;Azul;3;Numérica
;;516;Amarela;;
;;517;Rosa;;
;;518;Cinza;;
;;522;Laranja - Adaptada Ledor;;
;;526;Verde - Videoprova - Libras;;
;;555;Amarela (Reaplicação);;
;;556;Cinza (Reaplicação);;
;;557;Azul (Reaplicação);;
;;558;Rosa (Reaplicação);;
NU_NOTA_CN;Nota da prova de Ciências da Natureza;;;9;Numérica
NU_NOTA_CH;Nota da prova de Ciências Humanas;;;9;Numérica
NU_NOTA_LC;Nota da prova de Linguagens e Códigos;;;9;Numérica
NU_NOTA_MT;Nota da prova de Matemática;;;9;Numérica
TX_RESPOSTAS_CN;Vetor com as respostas da parte objetiva da prova de Ciências da Natureza8 ;;A,B,C,D, E, * (dupla marcação), . (em branco);45;Alfanumérica
TX_RESPOSTAS_CH;Vetor com as respostas da parte objetiva da prova de Ciências Humanas8;;A,B,C,D, E, * (dupla marcação), . (em branco);45;Alfanumérica
TX_RESPOSTAS_LC;Vetor com as respostas da parte objetiva da prova de Linguagens e Códigos9 ;;A,B,C,D, E, * (dupla marcação), . (em branco), 9 (Item não apresentado);45;Alfanumérica
TX_RESPOSTAS_MT;Vetor com as respostas da parte objetiva da prova de Matemática8 ;;A,B,C,D, E, * (dupla marcação), . (em branco);45;Alfanumérica
TP_LINGUA;Língua Estrangeira ;0;Inglês;1;Numérica
;;1;Espanhol;;
TX_GABARITO_CN;Vetor com o gabarito da parte objetiva da prova de Ciências da Natureza10 ;;;45;Alfanumérica
TX_GABARITO_CH;Vetor com o gabarito da parte objetiva da prova de Ciências Humanas10;;;45;Alfanumérica
TX_GABARITO_LC;Vetor com o gabarito da parte objetiva da prova de Linguagens e Códigos11 ;;;50;Alfanumérica
TX_GABARITO_MT;Vetor com o gabarito da parte objetiva da prova de Matemática10;;;45;Alfanumérica
DADOS DA REDAÇÃO;;;;;
TP_STATUS_REDACAO;Situação da redação do participante;1;Sem problemas;1;Numérica
;;2;Anulada;;
;;3;Cópia Texto Motivador;;
;;4;Em Branco;;
;;6;Fuga ao tema;;
;;7;Não atendimento ao tipo textual;;
;;8;Texto insuficiente;;
;;9;Parte desconectada;;
NU_NOTA_COMP1;Nota da competência 1 - Demonstrar domínio da modalidade escrita formal da Língua Portuguesa.;;;9;Numérica
NU_NOTA_COMP2;Nota da competência 2 - Compreender a proposta de redação e aplicar conceitos das várias áreas de conhecimento para desenvolver o tema, dentro dos limites estruturais do texto dissertativo-argumentativo em prosa.;;;9;Numérica
NU_NOTA_COMP3;Nota da competência 3 - Selecionar, relacionar, organizar e interpretar informações, fatos, opiniões e argumentos em defesa de um ponto de vista.;;;9;Numérica
NU_NOTA_COMP4;Nota da competência 4 - Demonstrar conhecimento dos mecanismos linguísticos necessários para a construção da argumentação.;;;9;Numérica
NU_NOTA_COMP5;Nota da competência 5 - Elaborar proposta de intervenção para o problema abordado, respeitando os direitos humanos.;;;9;Numérica
NU_NOTA_REDACAO;Nota da prova de redação;;;9;Numérica
DADOS DO QUESTIONÁRIO SOCIOECONÔMICO;;;;;
Q001;Até que série seu pai, ou o homem responsável por você, estudou?;A;Nunca estudou.;1;Alfanumérica
;;B;Não completou a 4ª série/5º ano do Ensino Fundamental.;;
;;C;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.;;
;;D;Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.;;
;;E;Completou o Ensino Médio, mas não completou a Faculdade.;;
;;F;Completou a Faculdade, mas não completou a Pós-graduação.;;
;;G;Completou a Pós-graduação.;;
;;H;Não sei.;;
Q002;Até que série sua mãe, ou a mulher responsável por você, estudou?;A;Nunca estudou.;1;Alfanumérica
;;B;Não completou a 4ª série/5º ano do Ensino Fundamental.;;
;;C;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.;;
;;D;Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.;;
;;E;Completou o Ensino Médio, mas não completou a Faculdade.;;
;;F;Completou a Faculdade, mas não completou a Pós-graduação.;;
;;G;Completou a Pós-graduação.;;
;;H;Não sei.;;
Q003;A partir da apresentação de algumas ocupações divididas em grupos ordenados, indique o grupo que contempla a ocupação mais próxima da ocupação do seu pai ou do homem responsável por você. (Se ele não estiver trabalhando, escolha uma ocupação pensando no último trabalho dele).;A;Grupo 1: Lavrador, agricultor sem empregados, bóia fria, criador de animais (gado, porcos, galinhas, ovelhas, cavalos etc.), apicultor, pescador, lenhador, seringueiro, extrativista.;1;Alfanumérica
;;B;Grupo 2: Diarista, empregado doméstico, cuidador de idosos, babá, cozinheiro (em casas particulares), motorista particular, jardineiro, faxineiro de empresas e prédios, vigilante, porteiro, carteiro, office-boy, vendedor, caixa, atendente de loja, auxiliar administrativo, recepcionista, servente de pedreiro, repositor de mercadoria.;;
;;C;Grupo 3: Padeiro, cozinheiro industrial ou em restaurantes, sapateiro, costureiro, joalheiro, torneiro mecânico, operador de máquinas, soldador, operário de fábrica, trabalhador da mineração, pedreiro, pintor, eletricista, encanador, motorista, caminhoneiro, taxista.;;
;;D;Grupo 4: Professor (de ensino fundamental ou médio, idioma, música, artes etc.), técnico (de enfermagem, contabilidade, eletrônica etc.), policial, militar de baixa patente (soldado, cabo, sargento), corretor de imóveis, supervisor, gerente, mestre de obras, pastor, microempresário (proprietário de empresa com menos de 10 empregados), pequeno comerciante, pequeno proprietário de terras, trabalhador autônomo ou por conta própria.;;
;;E;Grupo 5: Médico, engenheiro, dentista, psicólogo, economista, advogado, juiz, promotor, defensor, delegado, tenente, capitão, coronel, professor universitário, diretor em empresas públicas ou privadas, político, proprietário de empresas com mais de 10 empregados.;;
;;F;Não sei.;;
Q004;A partir da apresentação de algumas ocupações divididas em grupos ordenados, indique o grupo que contempla a ocupação mais próxima da ocupação da sua mãe ou da mulher responsável por você. (Se ela não estiver trabalhando, escolha uma ocupação pensando no último trabalho dela).;A;Grupo 1: Lavradora, agricultora sem empregados, bóia fria, criadora de animais (gado, porcos, galinhas, ovelhas, cavalos etc.), apicultora, pescadora, lenhadora, seringueira, extrativista.;2;Numérica
;;B;Grupo 2: Diarista, empregada doméstica, cuidadora de idosos, babá, cozinheira (em casas particulares), motorista particular, jardineira, faxineira de empresas e prédios, vigilante, porteira, carteira, office-boy, vendedora, caixa, atendente de loja, auxiliar administrativa, recepcionista, servente de pedreiro, repositora de mercadoria.;;
;;C;Grupo 3: Padeira, cozinheira industrial ou em restaurantes, sapateira, costureira, joalheira, torneira mecânica, operadora de máquinas, soldadora, operária de fábrica, trabalhadora da mineração, pedreira, pintora, eletricista, encanadora, motorista, caminhoneira, taxista.;;
;;D;Grupo 4: Professora (de ensino fundamental ou médio, idioma, música, artes etc.), técnica (de enfermagem, contabilidade, eletrônica etc.), policial, militar de baixa patente (soldado, cabo, sargento), corretora de imóveis, supervisora, gerente, mestre de obras, pastora, microempresária (proprietária de empresa com menos de 10 empregados), pequena comerciante, pequena proprietária de terras, trabalhadora autônoma ou por conta própria.;;
;;E;Grupo 5: Médica, engenheira, dentista, psicóloga, economista, advogada, juíza, promotora, defensora, delegada, tenente, capitã, coronel, professora universitária, diretora em empresas públicas ou privadas, política, proprietária de empresas com mais de 10 empregados.;;
;;F;Não sei.;;
Q005;Incluindo você, quantas pessoas moram atualmente em sua residência?;1;1, pois moro sozinho(a).;2;Numérica
;;2;2;;
;;3;3;;
;;4;4;;
;;5;5;;
;;6;6;;
;;7;7;;
;;8;8;;
;;9;9;;
;;10;10;;
;;11;11;;
;;12;12;;
;;13;13;;
;;14;14;;
;;15;15;;
;;16;16;;
;;17;17;;
;;18;18;;
;;19;19;;
;;20;20;;
Q006;Qual é a renda mensal de sua família? (Some a sua renda com a dos seus familiares.);A;Nenhuma renda.;1;Alfanumérica
;;B;Até R$ 998,00.;;
;;C;De R$ 998,01 até R$ 1.497,00.;;
;;D;De R$ 1.497,01 até R$ 1.996,00.;;
;;E;De R$ 1.996,01 até R$ 2.495,00.;;
;;F;De R$ 2.495,01 até R$ 2.994,00.;;
;;G;De R$ 2.994,01 até R$ 3.992,00.;;
;;H;De R$ 3.992,01 até R$ 4.990,00.;;
;;I;De R$ 4.990,01 até R$ 5.988,00.;;
;;J;De R$ 5.988,01 até R$ 6.986,00.;;
;;K;De R$ 6.986,01 até R$ 7.984,00.;;
;;L;De R$ 7.984,01 até R$ 8.982,00.;;
;;M;De R$ 8.982,01 até R$ 9.980,00.;;
;;N;De R$ 9.980,01 até R$ 11.976,00.;;
;;O;De R$ 11.976,01 até R$ 14.970,00.;;
;;P;De R$ 14.970,01 até R$ 19.960,00.;;
;;Q;Mais de R$ 19.960,00.;;
Q007;Em sua residência trabalha empregado(a) doméstico(a)?;A;Não.;1;Alfanumérica
;;B;Sim, um ou dois dias por semana.;;
;;C;Sim, três ou quatro dias por semana.;;
;;D;Sim, pelo menos cinco dias por semana.;;
Q008;Na sua residência tem banheiro?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q009;Na sua residência tem quartos para dormir?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q010;Na sua residência tem carro?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q011;Na sua residência tem motocicleta?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q012;Na sua residência tem geladeira?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q013;Na sua residência tem freezer (independente ou segunda porta da geladeira)?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q014;Na sua residência tem máquina de lavar roupa? (o tanquinho NÃO deve ser considerado);A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q015;Na sua residência tem máquina de secar roupa (independente ou em conjunto com a máquina de lavar roupa)?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q016;Na sua residência tem forno micro-ondas?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q017;Na sua residência tem máquina de lavar louça?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q018;Na sua residência tem aspirador de pó?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q019;Na sua residência tem televisão em cores?;A;Não.;1;Alfanumérica
;;B;Sim, uma.;;
;;C;Sim, duas.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q020;Na sua residência tem aparelho de DVD?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q021;Na sua residência tem TV por assinatura?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q022;Na sua residência tem telefone celular?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q023;Na sua residência tem telefone fixo?;A;Não.;1;Alfanumérica
;;B;Sim.;;
Q024;Na sua residência tem computador?;A;Não.;1;Alfanumérica
;;B;Sim, um.;;
;;C;Sim, dois.;;
;;D;Sim, três.;;
;;E;Sim, quatro ou mais.;;
Q025;Na sua residência tem acesso à Internet?;A;Não.;1;Alfanumérica
;;B;Sim.;;
1. Referente ao Enem 2019, trata-se de uma máscara e não o seu número de inscrição original no Enem. O mesmo NU_INSCRICAO para anos diferentes não identifica o mesmo participante no exame, não permite o acesso aos dados cadastrais como nome, endereço, RG etc, nem identifica o mesmo participante em microdados de pesquisas diferentes.;;;;;
2. Idade do inscrito em 31/12/2019. Idades inferiores a 10 anos e superiores a 100 anos estão com o campo vazio na base.;;;;;
3. Foi considerado treineiro o inscrito que não havia concluído o ensino médio e não o concluiria em 2019;;;;;
4. Número gerado como identificador da escola no Censo Escolar da Educação Básica.;;;;;
5. Segundo o Edital do Enem 2019, no ato da inscrição o participante deveria informar a condição especial ou específica que motiva o atendimento.;;;;;
6. Segundo o Edital do Enem 2019, no ato da inscrição o participante poderia declarar-se travesti ou transexual e solicitar o atendimento pelo Nome Social.;;;;;
8. As 45 primeiras posições deste campo são referentes as respectivas respostas. O asterisco (*) indica dupla marcação e o ponto (.) resposta em branco.;;;;;
9. As 45 primeiras posições deste campo são referentes as respectivas respostas, das quais as 5 primeiras correspondem a parte de língua estrangeira. O asterisco (*) indica dupla marcação e o ponto (.) resposta em branco.;;;;;
10. As 45 primeiras posições deste campo são referentes ao respectivo gabarito;;;;;
11. As 50 primeiras posições deste campo são referentes ao respectivo gabarito, das quais, para as 10 primeiras, as 5 primeiras correspondem à prova de Lingua Inglesa e as outras 5 à prova de Lingua Espanhola.;;;;;
